"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","All Donors, Total","","Flow Type(s):","Net Disbursements","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Recipient(s)",
"Bosnia and Herzegovina","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","0.01","0.01","15.69","70.24","408.57","965.8","851.81","862.05","914.97","1286.24","737.93","640.08","555.78","541.92","686.09","539.89","536.84","599.1","465.01","417.34","511.18","625.78","568.02","521.21","630.2","355.03","445.36"
"Botswana","","3.43","5.46","5.24","5.33","8.87","10.3","17.88","18.26","16.74","13.36","14.2","17.65","31.41","36.07","36.45","50.94","47.38","47.25","68.77","99.41","105.27","96.47","101.14","103.12","101.93","95.62","100.66","154.84","149.8","157.94","145.22","131.07","111.26","129.9","85.18","89.66","74.57","121.62","106.25","60.89","30.62","28.93","37.31","28.05","46.61","48.27","66.61","105.07","723.1","282.35","154.67","118.5","73.07","107.37","99.37","65.54","90.72"
"Brazil","","24.11","266.57","166.56","197.24","249","236.07","346.38","235.32","264.67","191.84","188.13","157.55","147.2","113.21","167.48","166.18","111.95","78.8","112.78","106.57","85.35","234.73","207.54","100.52","160.28","122.38","178.03","288.15","208.95","202","151.06","161.56","-251.51","207.45","258.96","278.93","278.2","263.05","287.78","130.94","241.07","236.36","215.93","207.58","161.84","192.5","89.94","308.76","452.37","353.69","448.67","821.07","1288.54","1155.73","914.15","1003.15","674.62"
"British Virgin Islands","","0.08","0.42","0.39","0.16","0.2","..","0.42","16.15","..","..","..","..","..","..","1.68","2.42","2.59","2.05","1.17","1.72","4.61","3.82","3.8","3.09","1.84","2.04","1.43","2.1","1.95","5.77","5.57","6.02","5.44","3.31","10.98","1.43","1.21","1.87","1.17","2.56","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Brunei Darussalam","","0.01","0.48","0.73","0.04","0.07","0.08","0.08","0.07","0.03","0.03","0.01","0.05","0.02","0.12","0.15","0.14","0.11","0.08","0.1","0.09","0.03","0.19","0.27","0.44","0.81","1.4","2.54","3.24","4.52","4.56","3.88","3.62","5.37","5.07","5.26","4.29","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Burkina Faso","","0.2","1.35","4.43","4.14","15.4","17.27","16.86","19.62","22.81","24","21.99","28.79","34.32","56.9","96.32","88.5","79.87","109.07","156.88","196.16","209.96","214.83","210.19","181.14","182.98","188.49","268.91","268.18","286.78","265.28","326.53","419.65","433.38","468.99","433.1","490.45","419.24","369.11","400.12","398.76","179.78","390.94","440.27","540.84","647.38","698.19","900.55","942.72","1000.38","1083.7","1044.62","981.98","1152.32","1045.08","1123.36","996.99","1023.28"
"Burundi","","7.53","7.19","11.07","6.16","8.09","4.86","8.93","10.41","12.97","14.93","17.67","21.68","25.76","26.86","37.35","47.47","43.8","47.64","73.91","94.34","115.95","120.65","125.4","137.61","137.67","137.16","191.31","196.62","200.5","206.24","262.55","256.4","309.28","216.95","311.11","286.95","110.52","56.4","68.75","75.1","93.31","139.25","171.91","227.6","358.82","365.58","432.02","504.55","520.43","575.75","627.61","572.24","524.17","558.83","515.4","366.54","742.13"
"Cabo Verde","","..","2.72","..","..","..","..","2.41","0.71","..","0.01","..","..","..","..","..","8.65","23.97","26.06","35.06","32.48","61.84","48.69","51.39","56.19","60.6","64.31","104.08","84.46","82.39","82.98","105.28","102","116.48","114.96","119.67","115.73","116.46","111.01","129.77","136.97","94.65","78.06","92.5","145.33","143.78","162.87","139.11","166.05","221.88","196.77","326.98","251.37","245.64","245.16","231.39","152.82","113.36"
"Cambodia","","27.29","25.17","22.16","23.75","12.71","9.73","11.33","13.94","10.23","12.7","18.83","40.24","67.15","145.68","307.68","81.86","0.72","0.3","0.27","107.99","268.67","112.45","35.89","39.03","21.81","13.84","15.31","16.62","20.27","24.72","41.31","89.71","200.52","300.51","313.35","551","416.53","335.44","337.67","277.45","396.39","415.35","486.34","517.29","485.77","538.57","531.4","691.4","744.23","710.96","733.98","792.43","807.69","808.21","802.68","679.04","729.38"
"Cameroon","","0.38","7.12","9.45","8.9","27.76","32.28","48.59","37.86","47.86","37.55","59.27","48.19","62.86","60.88","61.89","109.62","135.06","179.43","179.62","276.82","264.76","198.27","211.98","127.66","182.99","152.48","216.49","203.12","275.63","452.65","444.38","516.26","714.78","543.72","731.41","443.99","411.38","500.06","498.69","434.48","377.16","458.09","605.74","885.63","780.74","416.54","1716.24","1939.9","551.79","643.79","540.23","612.08","597.17","751.96","856.12","663.08","756.46"
